n,p_trust,p_drop,p_test,false_trust,false_drop,wrong_nontest,method,triage_risk,full_risk,seed,split,coverage,width
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,crc,0.20689655172413793,0.22758620689655173,3,iid,0.13793103448275862,0.04141438662471663
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,rac,0.20689655172413793,0.22758620689655173,3,iid,0.13793103448275862,0.04141438662471663
46,0.0,0.043478260869565216,0.9565217391304348,,0.0,0.0,split_cp,0.0,0.1913043478260869,3,ood,0.9782608695652174,1.0226392320444604
46,0.21739130434782608,0.782608695652174,0.0,0.7,0.1388888888888889,0.2608695652173913,crc,0.2608695652173913,0.2608695652173913,3,ood,0.0,0.0
46,0.21739130434782608,0.782608695652174,0.0,0.7,0.1388888888888889,0.2608695652173913,rac,0.2608695652173913,0.2608695652173913,3,ood,0.0,0.0
31,0.0,0.16129032258064516,0.8387096774193549,,0.0,0.0,split_cp,0.0,0.167741935483871,4,iid,1.0,0.7101441837949252
31,0.1935483870967742,0.8064516129032258,0.0,0.0,0.24,0.1935483870967742,crc,0.1935483870967742,0.1935483870967742,4,iid,0.0,0.0
31,0.1935483870967742,0.8064516129032258,0.0,0.0,0.24,0.1935483870967742,rac,0.1935483870967742,0.1935483870967742,4,iid,0.0,0.0
81,0.0,0.1728395061728395,0.8271604938271605,,0.14285714285714285,0.024691358024691357,split_cp,0.024691358024691357,0.19012345679012344,4,ood,0.9135802469135802,0.6472986997709526
81,0.2716049382716049,0.7283950617283951,0.0,0.13636363636363635,0.1694915254237288,0.16049382716049382,crc,0.16049382716049382,0.16049382716049382,4,ood,0.0,0.0
81,0.2716049382716049,0.7283950617283951,0.0,0.13636363636363635,0.1694915254237288,0.16049382716049382,rac,0.16049382716049382,0.16049382716049382,4,ood,0.0,0.0
29,0.0,0.1724137931034483,0.8275862068965517,,0.0,0.0,split_cp,0.0,0.16551724137931037,5,iid,0.9310344827586207,0.6778057506421611
29,0.1724137931034483,0.7931034482758621,0.034482758620689655,0.0,0.043478260869565216,0.034482758620689655,crc,0.034482758620689655,0.041379310344827586,5,iid,0.0,0.009281759218288704
29,0.1724137931034483,0.7931034482758621,0.034482758620689655,0.0,0.043478260869565216,0.034482758620689655,rac,0.034482758620689655,0.041379310344827586,5,iid,0.0,0.009281759218288704
24,0.0,0.041666666666666664,0.9583333333333334,,0.0,0.0,split_cp,0.0,0.19166666666666668,5,ood,1.0,1.6566217212462087
24,0.0,0.4583333333333333,0.5416666666666666,,0.0,0.0,crc,0.0,0.10833333333333335,5,ood,0.8333333333333334,0.38296703148904737
24,0.0,0.4583333333333333,0.5416666666666666,,0.0,0.0,rac,0.0,0.10833333333333335,5,ood,0.8333333333333334,0.38296703148904737
31,0.0,0.1935483870967742,0.8064516129032258,,0.0,0.0,split_cp,0.0,0.16129032258064518,6,iid,0.967741935483871,0.6332300518990831
31,0.25806451612903225,0.7419354838709677,0.0,0.125,0.17391304347826086,0.16129032258064516,crc,0.16129032258064516,0.16129032258064516,6,iid,0.0,0.0
31,0.25806451612903225,0.7419354838709677,0.0,0.125,0.17391304347826086,0.16129032258064516,rac,0.16129032258064516,0.16129032258064516,6,iid,0.0,0.0
32,0.125,0.40625,0.46875,0.0,0.0,0.0,split_cp,0.0,0.09375000000000001,6,ood,0.78125,0.3098885898233198
32,0.25,0.6875,0.0625,0.125,0.045454545454545456,0.0625,crc,0.0625,0.075,6,ood,0.0625,0.06690894790748682
32,0.25,0.6875,0.0625,0.125,0.045454545454545456,0.0625,rac,0.0625,0.075,6,ood,0.0625,0.06690894790748682
32,0.0,0.21875,0.78125,,0.0,0.0,split_cp,0.0,0.15625000000000003,7,iid,0.96875,0.8099476362477352
32,0.1875,0.8125,0.0,0.3333333333333333,0.07692307692307693,0.125,crc,0.125,0.125,7,iid,0.0,0.0
32,0.1875,0.8125,0.0,0.3333333333333333,0.07692307692307693,0.125,rac,0.125,0.125,7,iid,0.0,0.0
40,0.0,0.075,0.925,,0.0,0.0,split_cp,0.0,0.185,7,ood,0.975,1.3532620967822397
40,0.025,0.625,0.35,0.0,0.04,0.025,crc,0.025,0.095,7,ood,0.675,0.23548289515727908
40,0.025,0.625,0.35,0.0,0.04,0.025,rac,0.025,0.095,7,ood,0.675,0.23548289515727908
30,0.06666666666666667,0.26666666666666666,0.6666666666666666,0.0,0.0,0.0,split_cp,0.0,0.13333333333333336,8,iid,0.9333333333333333,0.6974033689315302
