method,seed,t,R
uncertainty,0,0.1,0.16666666666666666
uncertainty,0,0.2,0.13333333333333333
uncertainty,0,0.3,0.1
uncertainty,0,0.5,0.06666666666666667
uncertainty,1,0.05,0.09375
uncertainty,1,0.1,0.0625
uncertainty,1,0.2,0.0625
uncertainty,1,0.3,0.0625
uncertainty,1,0.5,0.03125
uncertainty,2,0.05,0.0967741935483871
uncertainty,2,0.1,0.06451612903225806
uncertainty,2,0.2,0.06451612903225806
uncertainty,2,0.3,0.06451612903225806
uncertainty,2,0.5,0.0
uncertainty,3,0.05,0.27586206896551724
uncertainty,3,0.1,0.27586206896551724
uncertainty,3,0.2,0.1724137931034483
uncertainty,3,0.3,0.13793103448275862
uncertainty,3,0.5,0.06896551724137931
uncertainty,4,0.05,0.1935483870967742
uncertainty,4,0.1,0.16129032258064516
uncertainty,4,0.2,0.16129032258064516
uncertainty,4,0.3,0.12903225806451613
uncertainty,4,0.5,0.0967741935483871
uncertainty,5,0.05,0.06896551724137931
uncertainty,5,0.1,0.06896551724137931
uncertainty,5,0.2,0.034482758620689655
uncertainty,5,0.3,0.034482758620689655
uncertainty,5,0.5,0.034482758620689655
uncertainty,6,0.05,0.16129032258064516
uncertainty,6,0.1,0.12903225806451613
uncertainty,6,0.2,0.0967741935483871
uncertainty,6,0.3,0.06451612903225806
uncertainty,6,0.5,0.06451612903225806
uncertainty,7,0.05,0.125
uncertainty,7,0.1,0.09375
uncertainty,7,0.2,0.0625
uncertainty,7,0.3,0.0625
uncertainty,7,0.5,0.03125
uncertainty,8,0.05,0.13333333333333333
uncertainty,8,0.1,0.13333333333333333
uncertainty,8,0.2,0.06666666666666667
uncertainty,8,0.3,0.06666666666666667
uncertainty,8,0.5,0.06666666666666667
uncertainty,9,0.05,0.22580645161290322
uncertainty,9,0.1,0.16129032258064516
uncertainty,9,0.2,0.12903225806451613
uncertainty,9,0.3,0.12903225806451613
uncertainty,9,0.5,0.06451612903225806
uncertainty,10,0.05,0.06666666666666667
uncertainty,10,0.1,0.03333333333333333
uncertainty,10,0.2,0.03333333333333333
uncertainty,10,0.3,0.03333333333333333
uncertainty,10,0.5,0.03333333333333333
uncertainty,11,0.05,0.03225806451612903
uncertainty,11,0.1,0.03225806451612903
uncertainty,11,0.2,0.03225806451612903
uncertainty,11,0.3,0.03225806451612903
uncertainty,11,0.5,0.03225806451612903
uncertainty,12,0.05,0.2
uncertainty,12,0.1,0.13333333333333333
uncertainty,12,0.2,0.13333333333333333
uncertainty,12,0.3,0.13333333333333333
uncertainty,12,0.5,0.06666666666666667
uncertainty,13,0.05,0.06666666666666667
uncertainty,13,0.1,0.03333333333333333
uncertainty,13,0.2,0.0
uncertainty,13,0.3,0.0
uncertainty,13,0.5,0.0
uncertainty,14,0.05,0.06451612903225806
uncertainty,14,0.1,0.06451612903225806
uncertainty,14,0.2,0.06451612903225806
uncertainty,14,0.3,0.06451612903225806
uncertainty,14,0.5,0.06451612903225806
uncertainty,15,0.05,0.1935483870967742
uncertainty,15,0.1,0.16129032258064516
uncertainty,15,0.2,0.12903225806451613
uncertainty,15,0.3,0.12903225806451613
uncertainty,15,0.5,0.12903225806451613
