n,p_trust,p_drop,p_test,false_trust,false_drop,wrong_nontest,method,triage_risk,full_risk,seed,c_e,theta_drop,testing_region,lambda
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval_cost,0.09375,0.09375,1,0.6,,,0.582233593823479
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,bayes,0.09375,0.09375,1,0.8,0.8,0.0,
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,risktriage,0.09375,0.09375,1,0.8,0.8,0.0,71.49601830969485
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval,0.09375,0.09375,1,0.8,,,0.582233593823479
32,0.28125,0.71875,0.0,0.2222222222222222,0.043478260869565216,0.09375,rac_interval_cost,0.09375,0.09375,1,0.8,,,0.582233593823479
31,0.2903225806451613,0.6774193548387096,0.03225806451612903,0.1111111111111111,0.09523809523809523,0.0967741935483871,bayes,0.0967741935483871,0.09709677419354838,2,0.01,0.01,1.0,
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,risktriage,0.03225806451612903,0.03580645161290323,2,0.01,0.01,1.0,10.450152409119582
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac_interval,0.03225806451612903,0.03580645161290323,2,0.01,,,22.596933616798548
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac_interval_cost,0.03225806451612903,0.03580645161290323,2,0.01,,,22.596933616798548
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.09523809523809523,0.0967741935483871,bayes,0.0967741935483871,0.0967741935483871,2,0.025,0.025,1.0,
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,risktriage,0.03225806451612903,0.0411290322580645,2,0.025,0.025,1.0,12.192927781431777
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac_interval,0.03225806451612903,0.0411290322580645,2,0.025,,,22.596933616798548
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac_interval_cost,0.03225806451612903,0.0411290322580645,2,0.025,,,22.596933616798548
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.09523809523809523,0.0967741935483871,bayes,0.0967741935483871,0.0967741935483871,2,0.05,0.05,1.0,
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,risktriage,0.03225806451612903,0.05000000000000001,2,0.05,0.05,1.0,14.226346378783193
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac_interval,0.03225806451612903,0.05000000000000001,2,0.05,,,22.596933616798548
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac_interval_cost,0.03225806451612903,0.05000000000000001,2,0.05,,,22.596933616798548
31,0.3225806451612903,0.6774193548387096,0.0,0.1,0.09523809523809523,0.0967741935483871,bayes,0.0967741935483871,0.0967741935483871,2,0.1,0.1,1.0,
31,0.16129032258064516,0.45161290322580644,0.3870967741935484,0.0,0.0,0.0,risktriage,0.0,0.03870967741935485,2,0.1,0.1,1.0,19.367079384650737
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac_interval,0.03225806451612903,0.06774193548387097,2,0.1,,,22.596933616798548
31,0.16129032258064516,0.4838709677419355,0.3548387096774194,0.0,0.06666666666666667,0.03225806451612903,rac_interval_cost,0.03225806451612903,0.06774193548387097,2,0.1,,,22.596933616798548
