n,p_trust,p_drop,p_test,false_trust,false_drop,wrong_nontest,method,triage_risk,full_risk,seed,coverage,width
31,0.22580645161290322,0.7741935483870968,0.0,0.42857142857142855,0.125,0.1935483870967742,uncalibrated,0.1935483870967742,0.1935483870967742,15,0.0,0.0
31,0.22580645161290322,0.7741935483870968,0.0,0.42857142857142855,0.125,0.1935483870967742,point,0.1935483870967742,0.1935483870967742,15,0.0,0.0
31,0.03225806451612903,0.1935483870967742,0.7741935483870968,0.0,0.0,0.0,split_cp,0.0,0.15483870967741942,15,0.967741935483871,0.6227104051353125
31,0.22580645161290322,0.7741935483870968,0.0,0.42857142857142855,0.125,0.1935483870967742,crc,0.1935483870967742,0.1935483870967742,15,0.0,0.0
31,0.22580645161290322,0.7741935483870968,0.0,0.42857142857142855,0.125,0.1935483870967742,rac,0.1935483870967742,0.1935483870967742,15,0.0,0.0
32,0.09375,0.90625,0.0,0.3333333333333333,0.13793103448275862,0.15625,uncalibrated,0.15625,0.15625,16,0.0,0.0
32,0.09375,0.90625,0.0,0.3333333333333333,0.13793103448275862,0.15625,point,0.15625,0.15625,16,0.0,0.0
32,0.0625,0.25,0.6875,0.0,0.0,0.0,split_cp,0.0,0.1375,16,0.9375,0.5974697325364042
32,0.09375,0.90625,0.0,0.3333333333333333,0.13793103448275862,0.15625,crc,0.15625,0.15625,16,0.0,0.0
32,0.09375,0.90625,0.0,0.3333333333333333,0.13793103448275862,0.15625,rac,0.15625,0.15625,16,0.0,0.0
31,0.16129032258064516,0.8064516129032258,0.03225806451612903,0.0,0.16,0.12903225806451613,uncalibrated,0.12903225806451613,0.13548387096774195,17,0.0,0.0
31,0.1935483870967742,0.8064516129032258,0.0,0.16666666666666666,0.16,0.16129032258064516,point,0.16129032258064516,0.16129032258064516,17,0.0,0.0
31,0.06451612903225806,0.3548387096774194,0.5806451612903226,0.0,0.09090909090909091,0.03225806451612903,split_cp,0.03225806451612903,0.14838709677419357,17,0.8064516129032258,0.3462622622679316
31,0.1935483870967742,0.8064516129032258,0.0,0.16666666666666666,0.16,0.16129032258064516,crc,0.16129032258064516,0.16129032258064516,17,0.0,0.0
31,0.1935483870967742,0.8064516129032258,0.0,0.16666666666666666,0.16,0.16129032258064516,rac,0.16129032258064516,0.16129032258064516,17,0.0,0.0
31,0.45161290322580644,0.4838709677419355,0.06451612903225806,0.21428571428571427,0.06666666666666667,0.12903225806451613,uncalibrated,0.12903225806451613,0.14193548387096774,18,0.3225806451612903,0.07253236919045658
31,0.4838709677419355,0.5161290322580645,0.0,0.2,0.125,0.16129032258064516,point,0.16129032258064516,0.16129032258064516,18,0.3225806451612903,0.07253236919045658
31,0.06451612903225806,0.22580645161290322,0.7096774193548387,0.0,0.14285714285714285,0.03225806451612903,split_cp,0.03225806451612903,0.17419354838709677,18,0.8387096774193549,0.42971698017830684
31,0.3225806451612903,0.45161290322580644,0.22580645161290322,0.1,0.07142857142857142,0.06451612903225806,crc,0.06451612903225806,0.10967741935483871,18,0.3225806451612903,0.07253236919045658
31,0.3225806451612903,0.45161290322580644,0.22580645161290322,0.1,0.07142857142857142,0.06451612903225806,rac,0.06451612903225806,0.10967741935483871,18,0.3225806451612903,0.07253236919045658
32,0.15625,0.84375,0.0,0.2,0.07407407407407407,0.09375,uncalibrated,0.09375,0.09375,19,0.0,0.0
32,0.15625,0.84375,0.0,0.2,0.07407407407407407,0.09375,point,0.09375,0.09375,19,0.0,0.0
32,0.0,0.28125,0.71875,,0.0,0.0,split_cp,0.0,0.14375000000000002,19,1.0,0.571384889874053
32,0.15625,0.84375,0.0,0.2,0.07407407407407407,0.09375,crc,0.09375,0.09375,19,0.0,0.0
32,0.15625,0.84375,0.0,0.2,0.07407407407407407,0.09375,rac,0.09375,0.09375,19,0.0,0.0
